Meeting_Days_Times,ENROLLMENT
TR 1500 - 1615,24
TR 1500 - 1730,9
TR 1630 - 1745,13
TR 1645 - 1730,7
TR 1700 - 1815,22
TR 1800 - 1915,12
W 0800 - 0950,25
W 0800 - 1350,42
W 0900 - 1145,24
W 0930 - 1045,46
W 1000 - 1050,14
W 1000 - 1100,5
W 1100 - 1200,5
W 1100 - 1215,26
W 1200 - 1315,69
W 1230 - 1515,24
W 1230 - 1530,4
W 1300 - 1415,17
W 1300 - 1530,27
W 1300 - 1545,28
W 1330 - 1445,16
W 1500 - 1800,3
W 1530 - 1815,32
W 1700 - 1945,11
W 1730 - 2015,17
W 1800 - 2050,5
F 0900 - 0950,30
F 1000 - 1100,2
F 1200 - 1250,51
M 1000 - 1150,41
M 1100 - 1150,37
M 1100 - 1250,49
M 1200 - 1250,98
M 1300 - 1350,45
M 1300 - 1450,79
M 1300 - 1530,37
M 1400 - 1450,45
M 1400 - 1550,36
M 1400 - 1645,11
M 1400 - 1650,20
M 1500 - 1745,41
M 1530 - 1700,3
M 1600 - 1845,36
M 1700 - 1830,8
M 1700 - 1900,2
M 1800 - 2045,425
M 1930 - 2200,20
MF 1400 - 1515,22
MTWR 0800 - 0850,56
MTWR 0900 - 0950,40
MTWR 1000 - 1050,49
MTWRF 0900 - 0950,82
MTWRF 1000 - 1050,91
MTWRF 1100 - 1150,106
MTWRF 1300 - 1350,103
MTWRF 1400 - 1450,85
MTWRF 1500 - 1615,10
MW 0800 - 0850,26
MW 0800 - 0915,53
MW 0800 - 0940,49
MW 0800 - 1045,34
MW 0900 - 0950,138
MW 0930 - 1045,251
MW 1000 - 1050,107
MW 1100 - 1150,94
MW 1100 - 1215,196
MW 1100 - 1345,37
MW 1200 - 1250,62
MW 1200 - 1315,231
MW 1200 - 1345,9
MW 1230 - 1345,90
MW 1300 - 1350,51
MW 1300 - 1415,141
MW 1330 - 1445,256
MW 1400 - 1515,384
MW 1400 - 1645,48
MW 1500 - 1615,62
MW 1600 - 1715,15
MW 1630 - 1745,39
MWRF 1000 - 1050,10
MWF 1400 - 1450,321
MWF 1300 - 1350,616
MWF 1200 - 1250,634
MWF 1100 - 1150,1551
MWF 1000 - 1050,1432
MWF 0900 - 0950,1202
MWF 0800 - 0850,669
MWF 0700 - 0750,41
R 0800 - 0950,60
R 0800 - 1045,54
R 1000 - 1150,90
R 1100 - 1215,62
R 1230 - 1515,48
R 1300 - 1350,30
R 1300 - 1450,87
R 1400 - 1550,43
R 1800 - 2045,113
R 1900 - 2050,37
T 0800 - 0950,59
T 0800 - 1045,67
T 1000 - 1150,68
T 1100 - 1150,76
T 1100 - 1215,66
T 1230 - 1345,62
T 1230 - 1515,75
T 1300 - 1450,95
T 1400 - 1450,28
T 1400 - 1515,41
T 1400 - 1550,44
T 1530 - 1815,41
T 1600 - 1845,7
T 1700 - 1945,17
T 1800 - 1950,37
T 1800 - 2045,441
TR 0800 - 0850,41
TR 0800 - 0915,1074
TR 0800 - 1040,16
TR 0800 - 1045,66
TR 0930 - 1045,2043
TR 1000 - 1050,73
TR 1100 - 1150,70
TR 1100 - 1215,1725
TR 1100 - 1345,69
TR 1230 - 1320,17
TR 1230 - 1345,1485
TR 1300 - 1350,71
TR 1400 - 1515,776
TR 1400 - 1645,34
TR 1530 - 1645,70
TR 1600 - 1715,33
TR 1720 - 1835,5
TRF 1530 - 1645,13
W 1000 - 1150,44
W 1100 - 1150,51
W 1200 - 1250,196
W 1300 - 1350,50
W 1300 - 1450,86
W 1400 - 1500,41
W 1400 - 1515,30
W 1400 - 1550,52
W 1400 - 1645,50
W 1400 - 1650,14
W 1400 - 1700,34
W 1500 - 1745,45
W 1530 - 1620,32
W 1600 - 1700,47
W 1600 - 1845,38
W 1700 - 2100,44
W 1800 - 2045,98
WF 0900 - 0950,22
WF 1000 - 1050,23
WR 1530 - 1700,6
